Year,chicks_deploy,chicks_deploy_na,chick_recov,days,NAO,NAO1,NAO2,NAO_SON,NAO_SON1,NAO_SON2,NAO_DJFM,NAO_DJFM1,NAO_DJFM2,SOI,SOI1,SOI2,SOI_SON,SOI_SON1,SOI_SON2,SOI_DJFM,SOI_DJFM1,SOI_DJFM2,WNAO,WNAO1,WNAO2,WSOI,WSOI1,WSOI2
1954,38,38,1,49,0.51,0.3975,-0.371666667,1.99,1.55,-1.15,0.13,-0.04,-0.15,0.233333333,-0.7675,-0.221666667,0.14,-0.63,-0.113333333,-0.2175,-0.6975,-0.6675,1.06,0.755,-0.65,-0.03875,-0.66375,-0.390416667
1955,11,11,1,35,-0.639166667,0.51,0.3975,-0.99,1.99,1.55,-1.25,0.13,-0.04,0.9025,0.233333333,-0.7675,1.43,0.14,-0.63,0.515,-0.2175,-0.6975,-1.12,1.06,0.755,0.9725,-0.03875,-0.66375
1956,93,93,1,73,0.1725,-0.639166667,0.51,0.54,-0.99,1.99,-1.05,-1.25,0.13,1.019166667,0.9025,0.233333333,0.696666667,1.43,0.14,1.015,0.515,-0.2175,-0.255,-1.12,1.06,0.855833333,0.9725,-0.03875
1957,56,56,0,75,-0.0175,0.1725,-0.639166667,0.38,0.54,-0.99,0.04,-1.05,-1.25,-0.455833333,1.019166667,0.9025,-0.776666667,0.696666667,1.43,0.1725,1.015,0.515,0.21,-0.255,-1.12,-0.302083333,0.855833333,0.9725
1958,65,65,1,80,0.12,-0.0175,0.1725,-0.31,0.38,0.54,-1.26,0.04,-1.05,-0.501666667,-0.455833333,1.019166667,-0.503333333,-0.776666667,0.696666667,-0.8575,0.1725,1.015,-0.785,0.21,-0.255,-0.680416667,-0.302083333,0.855833333
1959,111,111,0,67,0.49,0.12,-0.0175,-0.34,-0.31,0.38,0.09,-1.26,0.04,-0.104166667,-0.501666667,-0.455833333,0.41,-0.503333333,-0.776666667,-0.6275,-0.8575,0.1725,-0.125,-0.785,0.21,-0.10875,-0.680416667,-0.302083333
1960,32,32,0,50,-0.301666667,0.49,0.12,-1.29,-0.34,-0.31,-1.81,0.09,-1.26,0.291666667,-0.104166667,-0.501666667,0.35,0.41,-0.503333333,0.245,-0.6275,-0.8575,-1.55,-0.125,-0.785,0.2975,-0.10875,-0.680416667
1961,90,90,0,45,1.054166667,-0.301666667,0.49,0.69,-1.29,-0.34,0.72,-1.81,0.09,-0.010833333,0.291666667,-0.104166667,0.02,0.35,0.41,-0.4225,0.245,-0.6275,0.705,-1.55,-0.125,-0.20125,0.2975,-0.10875
1962,110,110,1,67,-0.129166667,1.054166667,-0.301666667,-0.21,0.69,-1.29,-0.93,0.72,-1.81,0.385833333,-0.010833333,0.291666667,0.583333333,0.02,0.35,0.575,-0.4225,0.245,-0.57,0.705,-1.55,0.579166667,-0.20125,0.2975
1963,84,84,1,56,-0.386666667,-0.129166667,1.054166667,1.07,-0.21,0.69,-1.3,-0.93,0.72,-0.319166667,0.385833333,-0.010833333,-0.996666667,0.583333333,0.02,0.405,0.575,-0.4225,-0.115,-0.57,0.705,-0.295833333,0.579166667,-0.20125
1964,57,57,0,47,0.236666667,-0.386666667,-0.129166667,0.07,1.07,-0.21,-0.88,-1.3,-0.93,0.539166667,-0.319166667,0.385833333,0.83,-0.996666667,0.583333333,-0.325,0.405,0.575,-0.405,-0.115,-0.57,0.2525,-0.295833333,0.579166667
1965,96,96,1,42,-0.2325,0.236666667,-0.386666667,-1.12,0.07,1.07,-0.82,-0.88,-1.3,-0.9525,0.539166667,-0.319166667,-1.496666667,0.83,-0.996666667,-0.19,-0.325,0.405,-0.97,-0.405,-0.115,-0.843333333,0.2525,-0.295833333
1966,74,74,0,29,-0.216666667,-0.2325,0.236666667,-0.63,-1.12,0.07,-1.56,-0.82,-0.88,-0.538333333,-0.9525,0.539166667,-0.256666667,-1.496666667,0.83,-0.9075,-0.19,-0.325,-1.095,-0.97,-0.405,-0.582083333,-0.843333333,0.2525
1967,66,66,1,38,0.560833333,-0.216666667,-0.2325,1.87,-0.63,-1.12,0.6,-1.56,-0.82,0.254166667,-0.538333333,-0.9525,-0.1,-0.256666667,-1.496666667,0.69,-0.9075,-0.19,1.235,-1.095,-0.97,0.295,-0.582083333,-0.843333333
1968,31,31,0,42,-0.6175,0.560833333,-0.216666667,-2.72,1.87,-0.63,-0.16,0.6,-1.56,0.2,0.254166667,-0.538333333,-0.383333333,-0.1,-0.256666667,-0.025,0.69,-0.9075,-1.44,1.235,-1.095,-0.204166667,0.295,-0.582083333
1969,35,35,1,37,-0.44,-0.6175,0.560833333,1.67,-2.72,1.87,-2.58,-0.16,0.6,-0.665833333,0.2,0.254166667,-0.876666667,-0.383333333,-0.1,-0.5275,-0.025,0.69,-0.455,-1.44,1.235,-0.702083333,-0.204166667,0.295
1970,100,100,1,51,0.18,-0.44,-0.6175,0.3,1.67,-2.72,-1.16,-2.58,-0.16,0.289166667,-0.665833333,0.2,1.256666667,-0.876666667,-0.383333333,-0.545,-0.5275,-0.025,-0.43,-0.455,-1.44,0.355833333,-0.702083333,-0.204166667
1971,104,104,1,43,-0.554166667,0.18,-0.44,0.02,0.3,1.67,-0.67,-1.16,-2.58,1.0725,0.289166667,-0.665833333,1.27,1.256666667,-0.876666667,1.37,-0.545,-0.5275,-0.325,-0.43,-0.455,1.32,0.355833333,-0.702083333
1972,187,187,1,50,-0.0425,-0.554166667,0.18,-0.1,0.02,0.3,0.1,-0.67,-1.16,-0.829166667,1.0725,0.289166667,-0.996666667,1.27,1.256666667,0.32,1.37,-0.545,0,-0.325,-0.43,-0.338333333,1.32,0.355833333
1973,262,262,1,55,-0.086666667,-0.0425,-0.554166667,-0.96,-0.1,0.02,1.18,0.1,-0.67,0.64,-0.829166667,1.0725,1.656666667,-0.996666667,1.27,-0.8575,0.32,1.37,0.11,0,-0.325,0.399583333,-0.338333333,1.32
1974,239,239,1,75,0.594166667,-0.086666667,-0.0425,0.26,-0.96,-0.1,0.36,1.18,0.1,0.959166667,0.64,-0.829166667,0.486666667,1.656666667,-0.996666667,1.8775,-0.8575,0.32,0.31,0.11,0,1.182083333,0.399583333,-0.338333333
1975,266,266,0,81,0.0525,0.594166667,-0.086666667,0.44,0.26,-0.96,0.73,0.36,1.18,1.328333333,0.959166667,0.64,1.69,0.486666667,1.656666667,0.21,1.8775,-0.8575,0.585,0.31,0.11,0.95,1.182083333,0.399583333
1976,248,248,0,63,-0.07,0.0525,0.594166667,-0.91,0.44,0.26,1.2,0.73,0.36,0.058333333,1.328333333,0.959166667,-0.133333333,1.69,0.486666667,1.4375,0.21,1.8775,0.145,0.585,0.31,0.652083333,0.95,1.182083333
1977,316,316,0,69,-0.211666667,-0.07,0.0525,1.22,-0.91,0.44,-1.35,1.2,0.73,-1.135,0.058333333,1.328333333,-1.3,-0.133333333,1.69,-0.355,1.4375,0.21,-0.065,0.145,0.585,-0.8275,0.652083333,0.95
1978,355,355,1,92,0.2075,-0.211666667,-0.07,2.01,1.22,-0.91,-0.56,-1.35,1.2,-0.2875,-1.135,0.058333333,-0.326666667,-1.3,-0.133333333,-1.29,-0.355,1.4375,0.725,-0.065,0.145,-0.808333333,-0.8275,0.652083333
1979,245,245,1,80,0.185833333,0.2075,-0.211666667,0.39,2.01,1.22,-1.44,-0.56,-1.35,-0.263333333,-0.2875,-1.135,-0.29,-0.326666667,-1.3,-0.135,-1.29,-0.355,-0.525,0.725,-0.065,-0.2125,-0.808333333,-0.8275
1980,252,252,0,75,-0.374166667,0.185833333,0.2075,-0.9,0.39,2.01,-0.37,-1.44,-0.56,-0.4325,-0.263333333,-0.2875,-0.45,-0.29,-0.326666667,-0.425,-0.135,-1.29,-0.635,-0.525,0.725,-0.4375,-0.2125,-0.808333333
1981,289,289,1,54,-0.090833333,-0.374166667,0.185833333,-0.38,-0.9,0.39,0.28,-0.37,-1.44,0.070833333,-0.4325,-0.263333333,-0.04,-0.45,-0.29,-0.605,-0.425,-0.135,-0.05,-0.635,-0.525,-0.3225,-0.4375,-0.2125
1982,189,189,1,60,0.665833333,-0.090833333,-0.374166667,1.92,-0.38,-0.9,-0.21,0.28,-0.37,-1.45,0.070833333,-0.4325,-2.523333333,-0.04,-0.45,0.325,-0.605,-0.425,0.855,-0.05,-0.635,-1.099166667,-0.3225,-0.4375
1983,301,301,1,77,0.340833333,0.665833333,-0.090833333,0.48,1.92,-0.38,1.26,-0.21,0.28,-0.948333333,-1.45,0.070833333,0.376666667,-2.523333333,-0.04,-3.1375,0.325,-0.605,0.87,0.855,-0.05,-1.380416667,-1.099166667,-0.3225
1984,327,327,1,66,0.258333333,0.340833333,0.665833333,0.53,0.48,1.92,0.39,1.26,-0.21,-0.1375,-0.948333333,-1.45,-0.106666667,0.376666667,-2.523333333,-0.155,-3.1375,0.325,0.46,0.87,0.855,-0.130833333,-1.380416667,-1.099166667
1985,283,283,1,69,-0.469166667,0.258333333,0.340833333,-0.66,0.53,0.48,-0.82,0.39,1.26,-0.0175,-0.1375,-0.948333333,-0.37,-0.106666667,0.376666667,0.05,-0.155,-3.1375,-0.74,0.46,0.87,-0.16,-0.130833333,-1.380416667
1986,360,360,1,68,0.555833333,-0.469166667,0.258333333,2.21,-0.66,0.53,-0.03,-0.82,0.39,-0.3225,-0.0175,-0.1375,-0.52,-0.37,-0.106666667,-0.1075,0.05,-0.155,1.09,-0.74,0.46,-0.31375,-0.16,-0.130833333
1987,308,308,0,83,-0.51,0.555833333,-0.469166667,-0.04,2.21,-0.66,-0.68,-0.03,-0.82,-1.4775,-0.3225,-0.0175,-0.63,-0.52,-0.37,-1.4575,-0.1075,0.05,-0.36,1.09,-0.74,-1.04375,-0.31375,-0.16
1988,311,311,1,77,-0.319166667,-0.51,0.555833333,-0.33,-0.04,2.21,-0.18,-0.68,-0.03,0.736666667,-1.4775,-0.3225,1.73,-0.63,-0.52,-0.3725,-1.4575,-0.1075,-0.255,-0.36,1.09,0.67875,-1.04375,-0.31375
1989,436,436,1,92,0.566666667,-0.319166667,-0.51,0.58,-0.33,-0.04,2.44,-0.18,-0.68,0.616666667,0.736666667,-1.4775,0.25,1.73,-0.63,0.9475,-0.3725,-1.4575,1.51,-0.255,-0.36,0.59875,0.67875,-1.04375
1990,242,242,1,87,1.228333333,0.566666667,-0.319166667,-0.12,0.58,-0.33,1.92,2.44,-0.18,-0.325833333,0.616666667,0.736666667,-0.543333333,0.25,1.73,-0.9275,0.9475,-0.3725,0.9,1.51,-0.255,-0.735416667,0.59875,0.67875
1991,419,419,1,91,0.339166667,1.228333333,0.566666667,0.63,-0.12,0.58,0.54,1.92,2.44,-1.013333333,-0.325833333,0.616666667,-1.32,-0.543333333,0.25,-0.335,-0.9275,0.9475,0.585,0.9,1.51,-0.8275,-0.735416667,0.59875
1992,444,444,1,88,1.104166667,0.339166667,1.228333333,0.52,0.63,-0.12,1.73,0.54,1.92,-1.2275,-1.013333333,-0.325833333,-0.936666667,-1.32,-0.543333333,-2.1925,-0.335,-0.9275,1.125,0.585,0.9,-1.564583333,-0.8275,-0.735416667
1993,216,216,1,88,0.124166667,1.104166667,0.339166667,-1.41,0.52,0.63,1.74,1.73,0.54,-1.106666667,-1.2275,-1.013333333,-0.826666667,-0.936666667,-1.32,-0.9325,-2.1925,-0.335,0.165,1.125,0.585,-0.879583333,-1.564583333,-0.8275
1994,458,458,1,72,0.5075,0.124166667,1.104166667,-0.41,-1.41,0.52,0.86,1.74,1.73,-1.353333333,-1.106666667,-1.2275,-1.363333333,-0.826666667,-0.936666667,-0.3975,-0.9325,-2.1925,0.225,0.165,1.125,-0.880416667,-0.879583333,-1.564583333
1995,567,567,1,83,-0.61,0.5075,0.124166667,-1.14,-0.41,-1.41,1.29,0.86,1.74,-0.335833333,-1.353333333,-1.106666667,-0.026666667,-1.363333333,-0.826666667,-0.5075,-0.3975,-0.9325,0.075,0.225,0.165,-0.267083333,-0.880416667,-0.879583333
1996,634,634,1,77,-1.009166667,-0.61,0.5075,0,-1.14,-0.41,-1.46,1.29,0.86,0.5625,-0.335833333,-1.353333333,0.236666667,-0.026666667,-1.363333333,0.1525,-0.5075,-0.3975,-0.73,0.075,0.225,0.194583333,-0.267083333,-0.880416667
1997,454,454,1,55,-0.1775,-1.009166667,-0.61,-1.03,0,-1.14,0.7,-1.46,1.29,-1.288333333,0.5625,-0.335833333,-1.516666667,0.236666667,-0.026666667,0.28,0.1525,-0.5075,-0.165,-0.73,0.075,-0.618333333,0.194583333,-0.267083333
1998,184,184,0,43,0.255833333,-0.1775,-1.009166667,-1.09,-1.03,0,-0.02,0.7,-1.46,-0.224166667,-1.288333333,0.5625,1.02,-1.516666667,0.236666667,-2.2325,0.28,0.1525,-0.555,-0.165,-0.73,-0.60625,-0.618333333,0.194583333
1999,295,295,0,65,0.045,0.255833333,-0.1775,0.54,-1.09,-1.03,0.64,-0.02,0.7,0.786666667,-0.224166667,-1.288333333,0.7,1.02,-1.516666667,1.065,-2.2325,0.28,0.59,-0.555,-0.165,0.8825,-0.60625,-0.618333333
2000,306,306,0,45,-0.039166667,0.045,0.255833333,0.64,0.54,-1.09,1.59,0.64,-0.02,0.7225,0.786666667,-0.224166667,1.286666667,0.7,1.02,0.99,1.065,-2.2325,1.115,0.59,-0.555,1.138333333,0.8825,-0.60625
2001,57,57,0,69,-0.453333333,-0.039166667,0.045,0.62,0.64,0.54,-1.01,1.59,0.64,-0.078333333,0.7225,0.786666667,0.123333333,1.286666667,0.7,0.7525,0.99,1.065,-0.195,1.115,0.59,0.437916667,1.138333333,0.8825
2002,720,720,1,79,-0.04,-0.453333333,-0.039166667,-1.95,0.62,0.64,0.61,-1.01,1.59,-0.723333333,-0.078333333,0.7225,-0.683333333,0.123333333,1.286666667,-0.2575,0.7525,0.99,-0.67,-0.195,1.115,-0.470416667,0.437916667,1.138333333
2003,619,619,1,79,-0.3025,-0.04,-0.453333333,-0.11,-1.95,0.62,0.04,0.61,-1.01,-0.426666667,-0.723333333,-0.078333333,-0.253333333,-0.683333333,0.123333333,-0.8525,-0.2575,0.7525,-0.035,-0.67,-0.195,-0.552916667,-0.470416667,0.437916667
2004,675,675,0,78,0.005,-0.3025,-0.04,0.01,-0.11,-1.95,-0.13,0.04,0.61,-0.633333333,-0.426666667,-0.723333333,-0.596666667,-0.253333333,-0.683333333,0.0675,-0.8525,-0.2575,-0.06,-0.035,-0.67,-0.264583333,-0.552916667,-0.470416667
2005,975, ,1,93,-0.254166667,0.005,-0.3025,-0.04,0.01,-0.11,0.34,-0.13,0.04,-0.456666667,-0.633333333,-0.426666667,0.346666667,-0.596666667,-0.253333333,-0.9975,0.0675,-0.8525,0.15,-0.06,-0.035,-0.325416667,-0.264583333,-0.552916667
2006,550,550,1,76,-0.176666667,-0.254166667,0.005,-0.08,-0.04,0.01,-0.91,0.34,-0.13,-0.2825,-0.456666667,-0.633333333,-0.69,0.346666667,-0.596666667,0.625,-0.9975,0.0675,-0.495,0.15,-0.06,-0.0325,-0.325416667,-0.264583333
2007,613,613,0,57,-0.381666667,-0.176666667,-0.254166667,-0.22,-0.08,-0.04,1.16,-0.91,0.34,0.035,-0.2825,-0.456666667,0.46,-0.69,0.346666667,-0.475,0.625,-0.9975,0.47,-0.495,0.15,-0.0075,-0.0325,-0.325416667
2008,323,323,0,66,-0.680833333,-0.381666667,-0.176666667,1.14,-0.22,-0.08,1.05,1.16,-0.91,0.9975,0.035,-0.2825,1.473333333,0.46,-0.69,1.53,-0.475,0.625,1.095,0.47,-0.495,1.501666667,-0.0075,-0.0325
2009,546,546,1,58,-0.3775,-0.680833333,-0.381666667,0.48,1.14,-0.22,0.03,1.05,1.16,-0.131666667,0.9975,0.035,-0.66,1.473333333,0.46,0.86,1.53,-0.475,0.255,1.095,0.47,0.1,1.501666667,-0.0075
2010,666,666,1,41,-2.344166667,-0.3775,-0.680833333,-1.55,0.48,1.14,-2.56,0.03,1.05,0.944166667,-0.131666667,0.9975,1.953333333,-0.66,1.473333333,-1.2675,0.86,1.53,-2.055,0.255,1.095,0.342916667,0.1,1.501666667
2011,869, ,1,55,0.4625,-2.344166667,-0.3775,1.77,-1.55,0.48,-0.69,-2.56,0.03,1.395833333,0.944166667,-0.131666667,1.153333333,1.953333333,-0.66,2.28,-1.2675,0.86,0.54,-2.055,0.255,1.716666667,0.342916667,0.1
2012,385,385,0,32,-0.630833333,0.4625,-2.344166667,0.25,1.77,-1.55,1.56,-0.69,-2.56,-0.18,1.395833333,0.944166667,0.24,1.153333333,1.953333333,0.9425,2.28,-1.2675,0.905,0.54,-2.055,0.59125,1.716666667,0.342916667
2013,232,232,1,41,0.588333333,-0.630833333,0.4625,0.4,0.25,1.77,-1.68,1.56,-0.69,0.345833333,-0.18,1.395833333,0.273333333,0.24,1.153333333,-0.07,0.9425,2.28,-0.64,0.905,0.54,0.101666667,0.59125,1.716666667
2014,191,191,1,43,0.095833333,0.588333333,-0.630833333,-0.82,0.4,0.25,0.91,-1.68,1.56,-0.381666667,0.345833333,-0.18,-0.826666667,0.273333333,0.24,-0.22,-0.07,0.9425,0.045,-0.64,0.905,-0.523333333,0.101666667,0.59125
2015,94,94,0,47,1.163333333,0.095833333,0.588333333,0.47,-0.82,0.4,1.84,0.91,-1.68,-1.174166667,-0.381666667,0.345833333,-1.396666667,-0.826666667,0.273333333,-0.7425,-0.22,-0.07,1.155,0.045,-0.64,-1.069583333,-0.523333333,0.101666667
2016,181,181,1,37,0.395833333,1.163333333,0.095833333,-0.98,0.47,-0.82,0.99,1.84,0.91,-0.456666667,-1.174166667,-0.381666667,0.13,-1.396666667,-0.826666667,-1.49,-0.7425,-0.22,0.005,1.155,0.045,-0.68,-1.069583333,-0.523333333
2017,268,268,1,49,0.5725,0.395833333,1.163333333,0.06,-0.98,0.47,0.87,0.99,1.84,0.109166667,-0.456666667,-1.174166667,0.77,0.13,-1.396666667,0.0875,-1.49,-0.7425,0.465,0.005,1.155,0.42875,-0.68,-1.069583333
2018,381,381,1,61,0.716666667,0.5725,0.395833333,-0.22,0.06,-0.98,-0.17,0.87,0.99,0.0875,0.109166667,-0.456666667,-0.266666667,0.77,0.13,0.235,0.0875,-1.49,-0.195,0.465,0.005,-0.015833333,0.42875,-0.68
2019,189,189,1,33,-0.03,0.716666667,0.5725,-0.88,-0.22,0.06,0.75,-0.17,0.87,-0.790833333,0.0875,0.109166667,-0.983333333,-0.266666667,0.77,-0.3925,0.235,0.0875,-0.065,-0.195,0.465,-0.687916667,-0.015833333,0.42875
2020,188,188,0,40,0.335833333,-0.03,0.716666667,1.3,-0.88,-0.22,1.79,0.75,-0.17,0.300833333,-0.790833333,0.0875,0.7,-0.983333333,-0.266666667,-0.445,-0.3925,0.235,1.545,-0.065,-0.195,0.1275,-0.687916667,-0.015833333
